id,severity,title,description,iacontrols,ruleID,fixid,fixtext,checkid,checktext
V-220702,medium,Windows 10 information systems must use BitLocker to encrypt all disks to protect the confidentiality and integrity of all information at rest.,"If data at rest is unencrypted, it is vulnerable to disclosure. Even if the operating system enforces permissions on data access, an adversary can remove non-volatile memory and read it directly, thereby circumventing operating system controls. Encrypting the data ensures that confidentiality is protected even when the operating system is not running.",None,SV-220702r569228_rule,F-22406r554592_fix,"Enable full disk encryption on all information systems (including SIPRNet) using BitLocker.

BitLocker, included in Windows, can be enabled in the Control Panel under ""BitLocker Drive Encryption"" as well as other management tools.

NOTE: An alternate encryption application may be used in lieu of BitLocker providing it is configured for full disk encryption and satisfies the pre-boot authentication requirements (WN10-00-000031 and WN10-00-000032).",C-22417r569227_chk,"Verify all Windows 10 information systems (including SIPRNet) employ BitLocker for full disk encryption.

For virtual desktop implementations (VDIs) in which the virtual desktop instance is deleted or refreshed upon logoff, this is NA.
For WVD implementations with no data at rest, this is NA.

If full disk encryption using BitLocker is not implemented, this is a finding.

Verify BitLocker is turned on for the operating system drive and any fixed data drives.

Open ""BitLocker Drive Encryption"" from the Control Panel.

If the operating system drive or any fixed data drives have ""Turn on BitLocker"", this is a finding.

NOTE: An alternate encryption application may be used in lieu of BitLocker providing it is configured for full disk encryption and satisfies the pre-boot authentication requirements (WN10-00-000031 and WN10-00-000032)."
V-220703,medium,Windows 10 systems must use a BitLocker PIN for pre-boot authentication.,"If data at rest is unencrypted, it is vulnerable to disclosure. Even if the operating system enforces permissions on data access, an adversary can remove non-volatile memory and read it directly, thereby circumventing operating system controls. Encrypting the data ensures that confidentiality is protected even when the operating system is not running. Pre-boot authentication prevents unauthorized users from accessing encrypted drives.",None,SV-220703r569288_rule,F-22407r554595_fix,"Configure the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> BitLocker Drive Encryption >> Operating System Drives ""Require additional authentication at startup"" to ""Enabled"" with ""Configure TPM Startup PIN:"" set to ""Require startup PIN with TPM"" or with ""Configure TPM startup key and PIN:"" set to ""Require startup key and PIN with TPM"".",C-22418r569287_chk,"If the following registry value does not exist or is not configured as specified, this is a finding.

For virtual desktop implementations (VDIs) in which the virtual desktop instance is deleted or refreshed upon logoff, this is NA.

For WVD implementations with no data at rest, this is NA.

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Policies\Microsoft\FVE\

Value Name: UseAdvancedStartup
Type: REG_DWORD
Value: 0x00000001 (1)

If one of the following registry values does not exist or is not configured as specified, this is a finding.

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Policies\Microsoft\FVE\

Value Name: UseTPMPIN
Type: REG_DWORD
Value: 0x00000001 (1)

Value Name: UseTPMKeyPIN
Type: REG_DWORD
Value: 0x00000001 (1)

When BitLocker network unlock is used:

Value Name: UseTPMPIN
Type: REG_DWORD
Value: 0x00000002 (2)

Value Name: UseTPMKeyPIN
Type: REG_DWORD
Value: 0x00000002 (2)

BitLocker network unlock may be used in conjunction with a BitLocker PIN. See the article below regarding information about network unlock.

https://docs.microsoft.com/en-us/windows/security/information-protection/bitlocker/bitlocker-how-to-enable-network-unlock"
V-220704,medium,Windows 10 systems must use a BitLocker PIN with a minimum length of 6 digits for pre-boot authentication.,"If data at rest is unencrypted, it is vulnerable to disclosure. Even if the operating system enforces permissions on data access, an adversary can remove non-volatile memory and read it directly, thereby circumventing operating system controls. Encrypting the data ensures that confidentiality is protected even when the operating system is not running. Pre-boot authentication prevents unauthorized users from accessing encrypted drives. Increasing the pin length requires a greater number of guesses for an attacker.",None,SV-220704r569290_rule,F-22408r554598_fix,"Configure the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> BitLocker Drive Encryption >> Operating System Drives ""Configure minimum PIN length for startup"" to ""Enabled"" with ""Minimum characters:"" set to ""6"" or greater.",C-22419r569289_chk,"If the following registry value does not exist or is not configured as specified, this is a finding.

For virtual desktop implementations (VDIs) in which the virtual desktop instance is deleted or refreshed upon logoff, this is NA.

For WVD implementations with no data at rest, this is NA.

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Policies\Microsoft\FVE\

Value Name: MinimumPIN
Type: REG_DWORD
Value: 0x00000006 (6) or greater"
V-220705,medium,"The operating system must employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs.","Utilizing a whitelist provides a configuration management method for allowing the execution of only authorized software. Using only authorized software decreases risk by limiting the number of potential vulnerabilities.

The organization must identify authorized software programs and only permit execution of authorized software. The process used to identify software programs that are authorized to execute on organizational information systems is commonly referred to as whitelisting.",None,SV-220705r569187_rule,F-22409r554601_fix,"Configure an application whitelisting program to employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs.

Configuration of whitelisting applications will vary by the program.  AppLocker is a whitelisting application built into Windows 10 Enterprise.

If AppLocker is used, it is configured through group policy in Computer Configuration >> Windows Settings >> Security Settings >> Application Control Policies >> AppLocker.

Implementation guidance for AppLocker is available in the NSA paper ""Application Whitelisting using Microsoft AppLocker"" at the following link:

https://www.iad.gov/iad/library/ia-guidance/tech-briefs/application-whitelisting-using-microsoft-applocker.cfm",C-22420r554600_chk,"This is applicable to unclassified systems; for other systems this is NA.

Verify the operating system employs a deny-all, permit-by-exception policy to allow the execution of authorized software programs. This must include packaged apps such as the universals apps installed by default on systems.

If an application whitelisting program is not in use on the system, this is a finding.

Configuration of whitelisting applications will vary by the program.

AppLocker is a whitelisting application built into Windows 10 Enterprise.  A deny-by-default implementation is initiated by enabling any AppLocker rules within a category, only allowing what is specified by defined rules.

If AppLocker is used, perform the following to view the configuration of AppLocker:
Run ""PowerShell"".

Execute the following command, substituting [c:\temp\file.xml] with a location and file name appropriate for the system:
Get-AppLockerPolicy -Effective -XML > c:\temp\file.xml

This will produce an xml file with the effective settings that can be viewed in a browser or opened in a program such as Excel for review.

Implementation guidance for AppLocker is available in the NSA paper ""Application Whitelisting using Microsoft AppLocker"" at the following link:

https://www.iad.gov/iad/library/ia-guidance/tech-briefs/application-whitelisting-using-microsoft-applocker.cfm"
V-220706,high,Windows 10 systems must be maintained at a supported servicing level.,"Windows 10 is maintained by Microsoft at servicing levels for specific periods of time to support Windows as a Service. Systems at unsupported servicing levels or releases will not receive security updates for new vulnerabilities which leaves them subject to exploitation.

New versions with feature updates are planned to be released on a semi-annual basis with an estimated support timeframe of 18 to 30 months depending on the release. Support for previously released versions has been extended for Enterprise editions.

A separate servicing branch intended for special purpose systems is the Long-Term Servicing Channel (LTSC, formerly Branch - LTSB) which will receive security updates for 10 years but excludes feature updates.",None,SV-220706r569217_rule,F-22410r569216_fix,"Update systems on the Semi-Annual Channel to ""Microsoft Windows Version 1803 (OS Build 17134.0)"" or greater.

It is recommended systems be upgraded to the most recently released version.

Special purpose systems using the Long-Term Servicing Branch\Channel (LTSC\B) may be at the following versions:

v1507 (Build 10240)
v1607 (Build 14393)
v1809 (Build 17763)",C-22421r569215_chk,"Run ""winver.exe"".

If the ""About Windows"" dialog box does not display:

""Microsoft Windows Version 1803 (OS Build 17134.0)""

or greater, this is a finding.

Note: Microsoft has extended support for previous versions providing critical and important updates for Windows 10 Enterprise.

Microsoft scheduled end of support dates for current Semi-Annual Channel versions:
v1803 - 11 May 2021
v1809 - 11 May 2021
v1903 - 8 December 2020
v1909 - 10 May 2022
v2004 - 14 December 2021

No preview versions will be used in a production environment.

Special purpose systems using the Long-Term Servicing Branch\Channel (LTSC\B) may be at following versions which are not a finding:

v1507 (Build 10240)
v1607 (Build 14393)
v1809 (Build 17763)"
V-220707,high,The Windows 10 system must use an anti-virus program.,Malicious software can establish a base on individual desktops and servers. Employing an automated mechanism to detect this type of software will aid in elimination of the software from the operating system.,None,SV-220707r569187_rule,F-22411r554607_fix,Install an anti-virus solution on the system.,C-22422r554606_chk,"Verify an anti-virus solution is installed on the system. The anti-virus solution may be bundled with an approved host-based security solution.

If there is no anti-virus solution installed on the system, this is a finding."
V-220933,medium,Remote calls to the Security Account Manager (SAM) must be restricted to Administrators.,The Windows Security Account Manager (SAM) stores users' passwords.  Restricting remote rpc connections to the SAM to Administrators helps protect those credentials.,None,SV-220933r569187_rule,F-22637r555285_fix,"Navigate to the policy Computer Configuration >> Windows Settings >> Security Settings >> Local Policies >> Security Options >> ""Network access: Restrict clients allowed to make remote calls to SAM"".

Select ""Edit Security"" to configure the ""Security descriptor:"".

Add ""Administrators"" in ""Group or user names:"" if it is not already listed (this is the default).

Select ""Administrators"" in ""Group or user names:"".

Select ""Allow"" for ""Remote Access"" in ""Permissions for ""Administrators"".

Click ""OK"".

The ""Security descriptor:"" must be populated with ""O:BAG:BAD:(A;;RC;;;BA) for the policy to be enforced.",C-22648r555284_chk,"Windows 10 v1507 LTSB version does not include this setting, it is NA for those systems.

If the following registry value does not exist or is not configured as specified, this is a finding:

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SYSTEM\CurrentControlSet\Control\Lsa\

Value Name: RestrictRemoteSAM

Value Type: REG_SZ
Value: O:BAG:BAD:(A;;RC;;;BA)"
V-220932,high,Anonymous access to Named Pipes and Shares must be restricted.,"Allowing anonymous access to named pipes or shares provides the potential for unauthorized system access.  This setting restricts access to those defined in ""Network access: Named Pipes that can be accessed anonymously"" and ""Network access: Shares that can be accessed anonymously"",  both of which must be blank under other requirements.",None,SV-220932r569187_rule,F-22636r555282_fix,"Configure the policy value for Computer Configuration >> Windows Settings >> Security Settings >> Local Policies >> Security Options >> ""Network access: Restrict anonymous access to Named Pipes and Shares"" to ""Enabled"".",C-22647r555281_chk,"If the following registry value does not exist or is not configured as specified, this is a finding:

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SYSTEM\CurrentControlSet\Services\LanManServer\Parameters\

Value Name: RestrictNullSessAccess

Value Type: REG_DWORD
Value: 1"
V-220931,medium,The system must be configured to prevent anonymous users from having the same rights as the Everyone group.,"Access by anonymous users must be restricted.  If this setting is enabled, then anonymous users have the same rights and permissions as the built-in Everyone group.  Anonymous users must not have these permissions or rights.",None,SV-220931r569187_rule,F-22635r555279_fix,"Configure the policy value for Computer Configuration >> Windows Settings >> Security Settings >> Local Policies >> Security Options >> ""Network access: Let Everyone permissions apply to anonymous users"" to ""Disabled"".",C-22646r555278_chk,"If the following registry value does not exist or is not configured as specified, this is a finding:

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SYSTEM\CurrentControlSet\Control\Lsa\

Value Name: EveryoneIncludesAnonymous

Value Type: REG_DWORD
Value: 0"
V-220930,high,Anonymous enumeration of shares must be restricted.,Allowing anonymous logon users (null session connections) to list all account names and enumerate all shared resources can provide a map of potential points to attack the system.,None,SV-220930r569187_rule,F-22634r555276_fix,"Configure the policy value for Computer Configuration >> Windows Settings >> Security Settings >> Local Policies >> Security Options >> ""Network access: Do not allow anonymous enumeration of SAM accounts and shares"" to ""Enabled"".",C-22645r555275_chk,"If the following registry value does not exist or is not configured as specified, this is a finding:

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SYSTEM\CurrentControlSet\Control\Lsa\

Value Name: RestrictAnonymous

Value Type: REG_DWORD
Value: 1"
V-220937,high,The system must be configured to prevent the storage of the LAN Manager hash of passwords.,The LAN Manager hash uses a weak encryption algorithm and there are several tools available that use this hash to retrieve account passwords.  This setting controls whether or not a LAN Manager hash of the password is stored in the SAM the next time the password is changed.,None,SV-220937r569187_rule,F-22641r555297_fix,"Configure the policy value for Computer Configuration >> Windows Settings >> Security Settings >> Local Policies >> Security Options >> ""Network security: Do not store LAN Manager hash value on next password change"" to ""Enabled"".",C-22652r555296_chk,"If the following registry value does not exist or is not configured as specified, this is a finding:

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SYSTEM\CurrentControlSet\Control\Lsa\

Value Name: NoLMHash

Value Type: REG_DWORD
Value: 1"
V-220936,medium,Kerberos encryption types must be configured to prevent the use of DES and RC4 encryption suites.,"Certain encryption types are no longer considered secure.  This setting configures a minimum encryption type for Kerberos, preventing the use of the DES and RC4 encryption suites.",None,SV-220936r569187_rule,F-22640r555294_fix,"Configure the policy value for Computer Configuration >> Windows Settings >> Security Settings >> Local Policies >> Security Options >> ""Network security: Configure encryption types allowed for Kerberos"" to ""Enabled"" with only the following selected:

AES128_HMAC_SHA1
AES256_HMAC_SHA1
Future encryption types",C-22651r555293_chk,"If the following registry value does not exist or is not configured as specified, this is a finding:

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters\

Value Name: SupportedEncryptionTypes

Value Type: REG_DWORD
Value: 0x7ffffff8 (2147483640)"
V-220935,medium,PKU2U authentication using online identities must be prevented.,PKU2U is a peer-to-peer authentication protocol.   This setting prevents online identities from authenticating to domain-joined systems.  Authentication will be centrally managed with Windows user accounts.,None,SV-220935r569187_rule,F-22639r555291_fix,"Configure the policy value for Computer Configuration >> Windows Settings >> Security Settings >> Local Policies >> Security Options >> ""Network security: Allow PKU2U authentication requests to this computer to use online identities"" to ""Disabled"".",C-22650r555290_chk,"If the following registry value does not exist or is not configured as specified, this is a finding:

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SYSTEM\CurrentControlSet\Control\LSA\pku2u\

Value Name: AllowOnlineID

Value Type: REG_DWORD
Value: 0"
V-220934,medium,NTLM must be prevented from falling back to a Null session.,NTLM sessions that are allowed to fall back to Null (unauthenticated) sessions may gain unauthorized access.,None,SV-220934r569187_rule,F-22638r555288_fix,"Configure the policy value for Computer Configuration >> Windows Settings >> Security Settings >> Local Policies >> Security Options >> ""Network security: Allow LocalSystem NULL session fallback"" to ""Disabled"".",C-22649r555287_chk,"If the following registry value does not exist or is not configured as specified, this is a finding:

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SYSTEM\CurrentControlSet\Control\LSA\MSV1_0\

Value Name: allownullsessionfallback

Value Type: REG_DWORD
Value: 0"
V-220939,medium,The system must be configured to the required LDAP client signing level.,"This setting controls the signing requirements for LDAP clients.  This setting must be set to Negotiate signing or Require signing, depending on the environment and type of LDAP server in use.",None,SV-220939r569187_rule,F-22643r555303_fix,"Configure the policy value for Computer Configuration >> Windows Settings >> Security Settings >> Local Policies >> Security Options >> ""Network security: LDAP client signing requirements"" to ""Negotiate signing"" at a minimum.",C-22654r555302_chk,"If the following registry value does not exist or is not configured as specified, this is a finding:

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SYSTEM\CurrentControlSet\Services\LDAP\

Value Name: LDAPClientIntegrity

Value Type: REG_DWORD
Value: 1"
V-220938,high,"The LanMan authentication level must be set to send NTLMv2 response only, and to refuse LM and NTLM.","The Kerberos v5 authentication protocol is the default for authentication of users who are logging on to domain accounts.  NTLM, which is less secure, is retained in later Windows versions  for compatibility with clients and servers that are running earlier versions of Windows or applications that still use it.  It is also used to authenticate logons to stand-alone computers that are running later versions.",None,SV-220938r569187_rule,F-22642r555300_fix,"Configure the policy value for Computer Configuration >> Windows Settings >> Security Settings >> Local Policies >> Security Options >> ""Network security: LAN Manager authentication level"" to ""Send NTLMv2 response only. Refuse LM & NTLM"".",C-22653r555299_chk,"If the following registry value does not exist or is not configured as specified, this is a finding:

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SYSTEM\CurrentControlSet\Control\Lsa\

Value Name: LmCompatibilityLevel

Value Type: REG_DWORD
Value: 5"
V-220742,medium,The password history must be configured to 24 passwords remembered.,A system is more vulnerable to unauthorized access when system users recycle the same password several times without being required to change a password to a unique password on a regularly scheduled basis.  This enables users to effectively negate the purpose of mandating periodic password changes.  The default value is 24 for Windows domain systems.  DoD has decided this is the appropriate value for all Windows systems.,None,SV-220742r569187_rule,F-22446r554712_fix,"Configure the policy value for Computer Configuration >> Windows Settings >> Security Settings >> Account Policies >> Password Policy >> ""Enforce password history"" to ""24"" passwords remembered.",C-22457r554711_chk,"Verify the effective setting in Local Group Policy Editor.
Run ""gpedit.msc"".

Navigate to Local Computer Policy >> Computer Configuration >> Windows Settings >> Security Settings >> Account Policies >> Password Policy.

If the value for ""Enforce password history"" is less than ""24"" passwords remembered, this is a finding."
V-220835,low,Windows Update must not obtain updates from other PCs on the Internet.,"Windows 10 allows Windows Update to obtain updates from additional sources instead of Microsoft. In addition to Microsoft, updates can be obtained from and sent to PCs on the local network as well as on the Internet. This is part of the Windows Update trusted process, however to minimize outside exposure, obtaining updates from or sending to systems on the Internet must be prevented.",None,SV-220835r569187_rule,F-22539r554991_fix,"Configure the policy value for Computer Configuration >> Administrative Templates >> Windows Components >> Delivery Optimization >> ""Download Mode"" to ""Enabled"" with any option except ""Internet"" selected.

Acceptable selections include:
Bypass (100)
Group (2)
HTTP only (0)
LAN (1)
Simple (99)

v1507 (LTSB) does not include this group policy setting locally. For domain joined systems, configure through domain group policy as ""HTTP only (0)"" or ""Lan (1)"". Standalone systems configure using Settings >> Update & Security >> Windows Update >> Advanced Options >> ""Choose how updates are delivered"" with either ""Off"" or ""PCs on my local network"" selected.",C-22550r554990_chk,"If the following registry value does not exist or is not configured as specified, this is a finding:

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Policies\Microsoft\Windows\DeliveryOptimization\

Value Name: DODownloadMode

Value Type: REG_DWORD
Value: 0x00000000 (0) - No peering (HTTP Only)
0x00000001 (1) - Peers on same NAT only (LAN)
0x00000002 (2) - Local Network / Private group peering (Group)
0x00000063 (99) - Simple download mode, no peering (Simple)
0x00000064 (100) - Bypass mode, Delivery Optimization not used (Bypass)

A value of 0x00000003 (3), Internet, is a finding.

v1507 LTSB:
Domain joined systems:
Verify the registry value above.
If the value is not 0x00000000 (0) or 0x00000001 (1), this is a finding.

Standalone systems (configured in Settings):
If the following registry value does not exist or is not configured as specified, this is a finding:

Registry Hive: HKEY_LOCAL_MACHINE
Registry Path: \SOFTWARE\Microsoft\Windows\CurrentVersion\DeliveryOptimization\Config\

Value Name: DODownloadMode

Value Type: REG_DWORD
Value: 0x00000000 (0) - Off
0x00000001 (1) - LAN"
